Types_of_waters,Drowning_reasons,Gender,Age,Region,Is_Holiday,Season,time_period,Drowning_results
近海(海岸線1公里內),戲水,女,36.0,北部,True,Summer,Dawn,獲救
近海(海岸線1公里內),戲水,男,41.0,北部,True,Summer,Dawn,獲救
近海(海岸線1公里內),潛水,男,68.0,北部,True,Summer,Evening,死亡
溪河,自殺,女,60.0,北部,False,Summer,Noon,獲救
溪河,失足,女,14.0,北部,False,Summer,Noon,死亡
溪河,自殺,男,57.0,北部,False,Summer,Night,獲救
池塘,交通事故,男,57.0,北部,True,Summer,Dawn,死亡
溪河,自殺,男,30.0,北部,True,Summer,Night,死亡
近海(海岸線1公里內),自殺,女,20.0,北部,False,Summer,Morning,獲救
溪河,自殺,女,92.0,北部,False,Summer,Morning,死亡
溪河,工作,男,31.0,北部,True,Fall,Noon,死亡
溪河,自殺,男,60.0,北部,False,Fall,Night,死亡
溪河,自殺,女,32.0,北部,True,Fall,Morning,獲救
溪河,自殺,女,40.0,北部,False,Fall,Night,死亡
碼頭,翻船,男,47.0,北部,False,Fall,Noon,死亡
溪河,自殺,女,57.0,北部,True,Fall,Evening,獲救
近海(海岸線1公里內),戲水,男,24.0,北部,False,Fall,Evening,獲救
水庫,失足,男,41.0,北部,False,Fall,Noon,死亡
近海(海岸線1公里內),垂釣,男,54.0,北部,True,Fall,Night,死亡
近海(海岸線1公里內),垂釣,男,54.0,北部,True,Fall,Night,獲救
近海(海岸線1公里內),垂釣,男,52.0,北部,True,Fall,Night,獲救
近海(海岸線1公里內),垂釣,男,46.0,北部,True,Fall,Night,獲救
近海(海岸線1公里內),垂釣,男,50.0,北部,True,Fall,Night,獲救
近海(海岸線1公里內),垂釣,男,57.0,北部,True,Fall,Night,獲救
近海(海岸線1公里內),垂釣,男,70.0,北部,True,Fall,Night,獲救
溪河,自殺,女,67.0,北部,False,Fall,Noon,死亡
近海(海岸線1公里內),戲水,男,42.0,北部,True,Fall,Noon,獲救
近海(海岸線1公里內),戲水,女,13.0,北部,True,Fall,Noon,獲救
近海(海岸線1公里內),戲水,女,45.0,北部,True,Fall,Noon,獲救
近海(海岸線1公里內),戲水,男,25.0,北部,True,Fall,Evening,死亡
溪河,自殺,男,49.0,北部,False,Fall,Dawn,獲救
近海(海岸線1公里內),工作,男,62.0,北部,True,Fall,Evening,死亡
溪河,自殺,女,27.0,北部,False,Fall,Noon,死亡
溪河,自殺,男,29.0,北部,False,Fall,Noon,死亡
溪河,失足,女,9.0,北部,True,Fall,Evening,死亡
溪河,失足,女,15.0,北部,True,Fall,Evening,死亡
溪河,失足,男,47.0,北部,True,Fall,Evening,死亡
溪河,失足,男,45.0,北部,True,Fall,Evening,死亡
溪河,失足,男,11.0,北部,True,Fall,Evening,死亡
溪河,失足,女,8.0,北部,True,Fall,Evening,死亡
湖潭,自殺,女,81.0,北部,False,Fall,Dawn,獲救
溪河,其他,女,29.0,北部,False,Fall,Night,獲救
溪河,自殺,女,28.0,北部,False,Fall,Dawn,獲救
溪河,自殺,女,70.0,北部,False,Fall,Noon,獲救
碼頭,其他,男,80.0,北部,True,Fall,Evening,獲救
溪河,自殺,女,43.0,北部,False,Fall,Dawn,死亡
溪河,其他,女,50.0,北部,True,Fall,Morning,獲救
碼頭,其他,男,79.0,北部,False,Fall,Night,死亡
溪河,自殺,男,70.0,北部,True,Fall,Morning,死亡
近海(海岸線1公里內),失足,男,46.0,北部,True,Fall,Night,死亡
游泳池,戲水,男,61.0,北部,False,Fall,Night,獲救
溪河,自殺,女,35.0,北部,False,Winter,Night,獲救
近海(海岸線1公里內),失足,男,54.0,北部,False,Winter,Night,死亡
碼頭,其他,女,57.0,北部,False,Winter,Night,獲救
溪河,自殺,女,54.0,北部,True,Winter,Dawn,獲救
溪河,其他,男,40.0,北部,True,Winter,Night,獲救
溪河,自殺,女,20.0,北部,True,Winter,Night,獲救
溪河,自殺,女,33.0,北部,False,Winter,Morning,死亡
溪河,自殺,女,26.0,北部,False,Winter,Night,獲救
圳溝,自殺,男,41.0,北部,False,Winter,Night,獲救
溪河,自殺,男,59.0,北部,True,Winter,Night,獲救
溪河,自殺,男,66.0,北部,False,Winter,Night,死亡
近海(海岸線1公里內),失足,男,52.0,北部,True,Winter,Noon,死亡
溪河,自殺,男,35.0,北部,False,Winter,Dawn,獲救
溪河,自殺,女,27.0,北部,False,Winter,Night,獲救
溪河,垂釣,男,65.0,中部,True,Spring,Morning,死亡
溪河,自殺,男,30.0,中部,False,Spring,Night,獲救
圳溝,自殺,女,48.0,中部,True,Spring,Evening,獲救
溪河,救人,男,34.0,中部,False,Spring,Night,獲救
溪河,自殺,男,67.0,中部,False,Spring,Night,死亡
溪河,戲水,男,27.0,中部,True,Spring,Noon,死亡
溪河,戲水,男,7.0,中部,True,Spring,Noon,死亡
圳溝,失足,男,67.0,中部,False,Spring,Morning,死亡
圳溝,自殺,女,35.0,中部,True,Summer,Morning,獲救
圳溝,失足,男,40.0,中部,False,Summer,Evening,死亡
溪河,失足,男,45.0,中部,False,Summer,Evening,死亡
溪河,垂釣,男,57.0,中部,False,Summer,Noon,死亡
溪河,自殺,男,83.0,中部,False,Summer,Dawn,死亡
圳溝,失足,男,42.0,中部,False,Fall,Evening,死亡
溪河,戲水,男,16.0,中部,True,Fall,Evening,死亡
溪河,失足,男,54.0,中部,True,Fall,Evening,死亡
池塘,自殺,女,57.0,中部,False,Fall,Morning,死亡
溪河,自殺,女,67.0,南部,True,Winter,Noon,獲救
池塘,自殺,女,69.0,南部,True,Winter,Morning,死亡
圳溝,垂釣,男,72.0,南部,False,Winter,Dawn,死亡
溪河,自殺,女,38.0,南部,False,Spring,Noon,獲救
溪河,自殺,男,86.0,南部,False,Spring,Noon,死亡
溪河,自殺,男,58.0,南部,False,Spring,Dawn,死亡
溪河,失足,男,40.0,南部,False,Summer,Dawn,獲救
魚塭,失足,男,49.0,南部,True,Summer,Evening,死亡
圳溝,自殺,男,38.0,南部,False,Summer,Evening,死亡
溪河,自殺,男,68.0,南部,True,Summer,Night,死亡
近海(海岸線1公里內),自殺,女,41.0,南部,True,Fall,Dawn,獲救
魚塭,失足,男,25.0,南部,False,Fall,Dawn,死亡
圳溝,失足,男,31.0,南部,False,Fall,Morning,獲救
近海(海岸線1公里內),自殺,男,27.0,南部,False,Fall,Morning,獲救
溪河,自殺,男,66.0,南部,False,Fall,Evening,死亡
魚塭,失足,男,3.0,南部,True,Fall,Noon,死亡
溪河,其他,男,79.0,南部,False,Fall,Noon,死亡
近海(海岸線1公里內),翻船,男,51.0,南部,False,Fall,Night,獲救
近海(海岸線1公里內),翻船,男,59.0,南部,False,Fall,Night,死亡
近海(海岸線1公里內),翻船,男,42.0,南部,False,Fall,Night,死亡
近海(海岸線1公里內),工作,男,29.0,南部,False,Fall,Dawn,死亡
溪河,其他,男,65.0,南部,True,Fall,Morning,獲救
近海(海岸線1公里內),自殺,女,30.0,南部,False,Fall,Morning,獲救
溪河,自殺,女,45.0,南部,False,Fall,Evening,死亡
池塘,失足,男,76.0,南部,False,Fall,Night,死亡
溪河,自殺,女,38.0,南部,True,Fall,Evening,獲救
溪河,自殺,女,72.0,南部,True,Fall,Dawn,死亡
魚塭,失足,女,63.0,南部,False,Fall,Noon,死亡
池塘,垂釣,女,41.0,南部,False,Winter,Noon,死亡
溪河,自殺,男,22.0,南部,False,Winter,Night,獲救
溪河,自殺,男,65.0,南部,False,Winter,Night,死亡
溪河,其他,男,50.0,南部,False,Winter,Evening,死亡
溪河,其他,男,62.0,南部,True,Winter,Evening,獲救
溪河,自殺,男,51.0,南部,False,Winter,Dawn,獲救
溪河,失足,男,58.0,南部,True,Spring,Night,獲救
圳溝,失足,男,77.0,南部,False,Spring,Evening,死亡
溪河,自殺,女,59.0,南部,False,Spring,Noon,死亡
水庫,自殺,女,68.0,南部,True,Spring,Night,死亡
湖潭,自殺,女,60.0,南部,True,Spring,Evening,獲救
溪河,自殺,女,61.0,南部,False,Spring,Noon,獲救
圳溝,自殺,女,49.0,南部,True,Spring,Night,獲救
溪河,自殺,男,50.0,南部,True,Spring,Night,獲救
湖潭,自殺,女,42.0,南部,False,Spring,Morning,獲救
水庫,自殺,男,33.0,南部,True,Spring,Night,死亡
溪河,自殺,女,29.0,南部,False,Spring,Morning,獲救
溪河,其他,女,27.0,南部,True,Spring,Evening,獲救
溪河,自殺,男,52.0,南部,False,Spring,Morning,死亡
湖潭,自殺,女,75.0,南部,False,Spring,Noon,獲救
湖潭,自殺,女,44.0,南部,True,Spring,Evening,死亡
溪河,自殺,女,40.0,南部,True,Spring,Night,獲救
湖潭,自殺,女,68.0,南部,False,Spring,Noon,獲救
湖潭,自殺,女,31.0,南部,False,Spring,Evening,死亡
溪河,自殺,女,24.0,南部,True,Summer,Night,獲救
溪河,其他,女,40.0,南部,True,Summer,Morning,獲救
溪河,自殺,女,65.0,南部,True,Summer,Morning,獲救
溪河,失足,女,51.0,南部,False,Summer,Evening,死亡
圳溝,失足,男,54.0,南部,True,Summer,Morning,死亡
溪河,失足,男,39.0,南部,False,Summer,Night,獲救
魚塭,交通事故,男,23.0,南部,True,Summer,Night,獲救
溪河,自殺,女,14.0,南部,False,Summer,Noon,死亡
溪河,自殺,男,20.0,南部,False,Summer,Night,死亡
碼頭,失足,男,47.0,南部,False,Summer,Night,死亡
近海(海岸線1公里內),失足,女,20.0,南部,False,Summer,Night,死亡
溪河,自殺,女,62.0,南部,True,Summer,Evening,死亡
湖潭,失足,女,65.0,南部,True,Summer,Dawn,獲救
溪河,失足,女,54.0,南部,False,Summer,Night,死亡
溪河,自殺,女,68.0,南部,False,Summer,Night,獲救
湖潭,自殺,女,54.0,南部,False,Summer,Dawn,死亡
溪河,自殺,女,33.0,南部,False,Summer,Dawn,獲救
湖潭,自殺,女,73.0,南部,True,Fall,Noon,獲救
圳溝,垂釣,男,34.0,南部,False,Fall,Dawn,獲救
溪河,自殺,女,39.0,南部,False,Fall,Night,獲救
溪河,失足,男,24.0,南部,False,Fall,Dawn,獲救
溪河,失足,男,32.0,南部,True,Fall,Noon,獲救
湖潭,失足,女,57.0,南部,False,Fall,Noon,獲救
溪河,失足,男,31.0,南部,True,Fall,Evening,獲救
溪河,自殺,男,31.0,南部,True,Fall,Night,獲救
溪河,自殺,女,41.0,南部,True,Fall,Night,獲救
圳溝,其他,男,31.0,南部,True,Fall,Dawn,獲救
溪河,失足,女,40.0,南部,True,Fall,Morning,死亡
溪河,自殺,女,53.0,南部,False,Fall,Night,獲救
溪河,失足,女,47.0,南部,False,Fall,Noon,獲救
溪河,失足,男,24.0,南部,True,Winter,Dawn,獲救
外海(海岸線1公里以外),工作,男,55.0,南部,False,Winter,Morning,獲救
溪河,其他,女,29.0,南部,False,Winter,Evening,獲救
溪河,自殺,男,16.0,南部,True,Winter,Morning,獲救
近海(海岸線1公里內),工作,男,49.0,東部,True,Winter,Dawn,死亡
近海(海岸線1公里內),潛水,男,38.0,東部,False,Winter,Morning,死亡
溪河,自殺,男,59.0,東部,False,Spring,Noon,死亡
近海(海岸線1公里內),垂釣,男,40.0,東部,False,Spring,Dawn,死亡
近海(海岸線1公里內),垂釣,男,50.0,東部,False,Spring,Noon,獲救
近海(海岸線1公里內),垂釣,男,56.0,東部,False,Spring,Noon,獲救
溪河,戲水,男,38.0,東部,True,Spring,Noon,死亡
近海(海岸線1公里內),失足,男,50.0,東部,False,Spring,Noon,死亡
圳溝,失足,女,83.0,東部,True,Summer,Noon,獲救
魚塭,工作,男,70.0,東部,False,Summer,Night,死亡
溪河,自殺,女,73.0,東部,False,Fall,Morning,死亡
近海(海岸線1公里內),戲水,男,24.0,東部,False,Fall,Morning,死亡
溪河,自殺,男,50.0,東部,True,Fall,Morning,死亡
近海(海岸線1公里內),失足,男,38.0,東部,True,Winter,Morning,死亡
近海(海岸線1公里內),翻船,男,52.0,東部,False,Winter,Dawn,獲救
近海(海岸線1公里內),翻船,男,70.0,東部,False,Winter,Dawn,死亡
池塘,戲水,女,7.0,北部,False,Winter,Evening,死亡
池塘,自殺,女,88.0,北部,False,Winter,Night,死亡
池塘,失足,女,45.0,北部,False,Spring,Dawn,獲救
溪河,垂釣,男,55.0,北部,True,Spring,Evening,死亡
池塘,自殺,女,60.0,北部,True,Summer,Night,死亡
池塘,失足,女,60.0,北部,True,Summer,Evening,死亡
溪河,自殺,女,49.0,北部,False,Summer,Night,獲救
溪河,戲水,男,51.0,北部,True,Summer,Evening,死亡
池塘,失足,男,22.0,北部,True,Summer,Dawn,死亡
溪河,戲水,男,16.0,北部,True,Summer,Noon,死亡
池塘,垂釣,男,56.0,北部,False,Winter,Evening,死亡
池塘,垂釣,男,74.0,北部,False,Summer,Night,死亡
湖潭,戲水,男,19.0,北部,False,Summer,Noon,死亡
溪河,垂釣,男,49.0,北部,True,Summer,Noon,死亡
溪河,自殺,女,79.0,北部,True,Summer,Dawn,獲救
池塘,失足,男,57.0,北部,True,Fall,Noon,獲救
湖潭,自殺,女,69.0,北部,False,Fall,Noon,死亡
湖潭,自殺,男,72.0,北部,False,Fall,Noon,死亡
其他,失足,女,73.0,中部,False,Spring,Morning,死亡
湖潭,戲水,男,17.0,中部,True,Spring,Noon,死亡
溪河,失足,男,23.0,中部,False,Spring,Noon,獲救
溪河,自殺,男,47.0,中部,True,Summer,Dawn,死亡
溪河,戲水,男,66.0,中部,True,Summer,Evening,獲救
池塘,垂釣,男,30.0,中部,False,Summer,Evening,死亡
碼頭,自殺,男,28.0,中部,False,Summer,Noon,獲救
溪河,失足,男,57.0,中部,True,Fall,Noon,死亡
溪河,工作,男,74.0,中部,False,Fall,Morning,死亡
湖潭,戲水,男,22.0,中部,False,Fall,Noon,死亡
近海(海岸線1公里內),工作,男,61.0,中部,False,Fall,Night,死亡
溪河,垂釣,男,40.0,中部,False,Winter,Dawn,死亡
近海(海岸線1公里內),自殺,男,26.0,中部,False,Winter,Dawn,死亡
圳溝,自殺,男,69.0,中部,False,Spring,Noon,死亡
溪河,自殺,女,56.0,中部,False,Spring,Night,獲救
溪河,自殺,男,68.0,中部,True,Spring,Evening,死亡
溪河,自殺,男,25.0,中部,True,Spring,Dawn,獲救
游泳池,其他,男,71.0,中部,False,Spring,Dawn,獲救
圳溝,自殺,男,38.0,中部,True,Spring,Night,死亡
圳溝,自殺,女,32.0,中部,False,Summer,Morning,獲救
其他,交通事故,女,70.0,中部,False,Summer,Morning,死亡
外海(海岸線1公里以外),戲水,男,64.0,中部,True,Summer,Noon,獲救
外海(海岸線1公里以外),戲水,男,9.0,中部,True,Summer,Noon,獲救
外海(海岸線1公里以外),戲水,男,9.0,中部,True,Summer,Noon,獲救
圳溝,失足,男,17.0,中部,True,Summer,Evening,死亡
魚塭,失足,男,67.0,中部,False,Summer,Noon,死亡
圳溝,自殺,女,58.0,中部,False,Summer,Morning,獲救
圳溝,自殺,女,60.0,中部,True,Summer,Night,死亡
圳溝,失足,女,67.0,中部,False,Summer,Dawn,死亡
近海(海岸線1公里內),工作,男,37.0,中部,False,Fall,Dawn,死亡
近海(海岸線1公里內),戲水,男,16.0,中部,False,Fall,Noon,死亡
圳溝,自殺,男,60.0,中部,True,Fall,Morning,死亡
溪河,自殺,男,60.0,中部,False,Fall,Morning,死亡
近海(海岸線1公里內),工作,男,55.0,中部,True,Fall,Morning,獲救
近海(海岸線1公里內),工作,男,51.0,中部,False,Fall,Night,獲救
近海(海岸線1公里內),工作,女,64.0,中部,False,Fall,Noon,獲救
近海(海岸線1公里內),工作,男,69.0,中部,False,Fall,Noon,獲救
近海(海岸線1公里內),工作,男,52.0,中部,False,Fall,Noon,獲救
圳溝,工作,男,79.0,中部,False,Fall,Night,死亡
圳溝,自殺,男,59.0,中部,False,Fall,Noon,死亡
溪河,自殺,女,33.0,中部,True,Fall,Night,獲救
近海(海岸線1公里內),失足,男,70.0,中部,True,Fall,Morning,死亡
圳溝,自殺,男,70.0,中部,False,Winter,Morning,死亡
溪河,其他,男,11.0,中部,False,Spring,Noon,死亡
溪河,自殺,男,28.0,中部,False,Spring,Night,獲救
湖潭,戲水,男,23.0,中部,False,Summer,Dawn,死亡
溪河,工作,女,49.0,中部,False,Summer,Noon,死亡
溪河,工作,男,56.0,中部,False,Summer,Noon,死亡
溪河,自殺,男,35.0,中部,False,Summer,Night,死亡
溪河,垂釣,男,80.0,中部,False,Summer,Night,獲救
溪河,戲水,男,40.0,中部,True,Fall,Noon,獲救
圳溝,交通事故,男,73.0,中部,False,Winter,Evening,死亡
外海(海岸線1公里以外),工作,男,50.0,中部,True,Spring,Noon,死亡
溪河,自殺,男,56.0,中部,False,Spring,Morning,死亡
圳溝,自殺,男,20.0,中部,True,Spring,Night,死亡
溪河,自殺,女,74.0,中部,True,Spring,Morning,死亡
圳溝,自殺,女,44.0,中部,False,Summer,Noon,死亡
圳溝,自殺,男,70.0,中部,False,Summer,Evening,死亡
圳溝,自殺,男,74.0,中部,False,Summer,Dawn,死亡
圳溝,失足,女,38.0,中部,True,Summer,Night,獲救
圳溝,垂釣,男,48.0,中部,False,Summer,Noon,死亡
圳溝,自殺,男,80.0,中部,False,Summer,Dawn,死亡
圳溝,交通事故,男,68.0,中部,False,Summer,Night,死亡
魚塭,失足,男,33.0,中部,False,Fall,Night,獲救
圳溝,交通事故,男,47.0,中部,False,Fall,Morning,死亡
圳溝,自殺,男,37.0,中部,False,Fall,Morning,死亡
溪河,自殺,女,70.0,中部,False,Fall,Morning,死亡
溪河,失足,男,58.0,南部,True,Spring,Morning,死亡
溪河,失足,男,75.0,南部,True,Summer,Night,死亡
溪河,自殺,男,27.0,南部,False,Summer,Evening,獲救
溪河,工作,男,73.0,南部,False,Summer,Evening,獲救
溪河,工作,男,52.0,南部,False,Summer,Evening,獲救
圳溝,失足,女,82.0,南部,True,Summer,Morning,死亡
魚塭,失足,男,75.0,南部,False,Summer,Evening,死亡
水庫,失足,男,22.0,南部,False,Summer,Evening,死亡
水庫,潛水,男,30.0,南部,False,Fall,Evening,死亡
溪河,自殺,男,24.0,南部,False,Fall,Dawn,獲救
溪河,自殺,男,33.0,南部,False,Fall,Morning,死亡
溪河,工作,男,30.0,南部,False,Winter,Noon,死亡
溪河,自殺,男,40.0,南部,False,Winter,Dawn,獲救
近海(海岸線1公里內),潛水,男,66.0,南部,False,Winter,Night,死亡
碼頭,戲水,男,51.0,南部,False,Winter,Evening,死亡
魚塭,失足,男,60.0,南部,True,Spring,Noon,死亡
近海(海岸線1公里內),潛水,女,25.0,南部,True,Spring,Evening,死亡
近海(海岸線1公里內),自殺,女,26.0,南部,True,Spring,Dawn,死亡
近海(海岸線1公里內),戲水,男,25.0,南部,True,Spring,Evening,獲救
魚塭,工作,男,41.0,南部,False,Summer,Dawn,死亡
溪河,失足,男,33.0,南部,False,Summer,Morning,死亡
溪河,自殺,男,44.0,南部,True,Summer,Evening,獲救
溪河,戲水,男,27.0,南部,False,Summer,Evening,死亡
溪河,戲水,男,37.0,南部,False,Summer,Evening,死亡
溪河,失足,男,50.0,南部,True,Summer,Evening,獲救
圳溝,失足,男,60.0,南部,True,Summer,Night,死亡
圳溝,失足,男,83.0,南部,True,Summer,Noon,死亡
溪河,失足,男,40.0,南部,False,Summer,Morning,死亡
魚塭,失足,男,82.0,南部,False,Summer,Dawn,死亡
溪河,自殺,男,31.0,南部,True,Fall,Evening,獲救
溪河,自殺,男,44.0,南部,False,Fall,Night,死亡
溪河,戲水,男,22.0,南部,True,Fall,Night,獲救
近海(海岸線1公里內),潛水,女,44.0,南部,True,Fall,Noon,獲救
近海(海岸線1公里內),戲水,女,31.0,南部,False,Winter,Evening,獲救
圳溝,交通事故,男,60.0,東部,False,Winter,Evening,死亡
近海(海岸線1公里內),戲水,男,17.0,東部,True,Winter,Evening,死亡
近海(海岸線1公里內),翻船,男,48.0,東部,True,Spring,Noon,獲救
近海(海岸線1公里內),翻船,男,63.0,東部,True,Spring,Noon,獲救
近海(海岸線1公里內),戲水,男,39.0,東部,False,Spring,Noon,死亡
近海(海岸線1公里內),潛水,女,28.0,東部,False,Spring,Night,死亡
近海(海岸線1公里內),垂釣,男,77.0,東部,False,Spring,Night,獲救
近海(海岸線1公里內),潛水,男,27.0,東部,True,Spring,Morning,獲救
近海(海岸線1公里內),潛水,男,51.0,東部,True,Spring,Dawn,獲救
近海(海岸線1公里內),垂釣,男,56.0,東部,True,Spring,Evening,獲救
外海(海岸線1公里以外),翻船,女,35.0,東部,False,Spring,Evening,獲救
外海(海岸線1公里以外),翻船,男,50.0,東部,False,Spring,Evening,獲救
碼頭,戲水,男,56.0,東部,True,Summer,Morning,死亡
近海(海岸線1公里內),潛水,男,61.0,東部,False,Summer,Night,死亡
近海(海岸線1公里內),戲水,男,16.0,東部,False,Summer,Night,死亡
近海(海岸線1公里內),垂釣,男,37.0,東部,False,Summer,Noon,死亡
近海(海岸線1公里內),戲水,男,38.0,東部,True,Fall,Evening,獲救
外海(海岸線1公里以外),翻船,男,64.0,東部,False,Fall,Dawn,獲救
外海(海岸線1公里以外),翻船,男,58.0,東部,False,Fall,Dawn,獲救
池塘,失足,男,1.0,東部,False,Winter,Noon,獲救
池塘,失足,男,1.0,東部,False,Winter,Noon,獲救
近海(海岸線1公里內),戲水,男,40.0,東部,True,Summer,Morning,獲救
近海(海岸線1公里內),戲水,男,16.0,東部,False,Fall,Evening,獲救
近海(海岸線1公里內),戲水,男,15.0,東部,False,Fall,Evening,獲救
近海(海岸線1公里內),戲水,男,16.0,東部,True,Fall,Evening,死亡
溪河,垂釣,男,81.0,東部,True,Fall,Evening,獲救
近海(海岸線1公里內),工作,女,79.0,外島,False,Winter,Noon,死亡
近海(海岸線1公里內),失足,男,79.0,外島,False,Winter,Evening,死亡
近海(海岸線1公里內),工作,女,79.0,外島,False,Winter,Morning,獲救
近海(海岸線1公里內),工作,男,58.0,外島,False,Spring,Morning,死亡
近海(海岸線1公里內),自殺,男,55.0,外島,True,Spring,Morning,死亡
近海(海岸線1公里內),工作,女,82.0,外島,False,Spring,Dawn,死亡
近海(海岸線1公里內),潛水,男,69.0,外島,True,Spring,Night,死亡
近海(海岸線1公里內),垂釣,男,65.0,外島,False,Spring,Night,死亡
近海(海岸線1公里內),戲水,女,79.0,外島,True,Spring,Evening,獲救
近海(海岸線1公里內),垂釣,男,47.0,外島,True,Spring,Night,死亡
近海(海岸線1公里內),潛水,男,29.0,外島,False,Summer,Night,死亡
碼頭,垂釣,男,37.0,外島,False,Summer,Evening,獲救
近海(海岸線1公里內),工作,男,53.0,外島,False,Fall,Night,獲救
碼頭,失足,男,60.0,外島,True,Fall,Evening,獲救
近海(海岸線1公里內),失足,男,69.0,外島,False,Fall,Evening,死亡
近海(海岸線1公里內),戲水,男,60.0,北部,True,Winter,Dawn,死亡
近海(海岸線1公里內),翻船,男,50.0,北部,True,Spring,Evening,死亡
近海(海岸線1公里內),垂釣,男,61.0,北部,True,Fall,Dawn,死亡
近海(海岸線1公里內),垂釣,男,62.0,北部,True,Fall,Dawn,獲救
溪河,自殺,女,49.0,北部,False,Winter,Noon,獲救
其他,失足,女,68.0,北部,False,Spring,Dawn,死亡
溪河,自殺,男,66.0,北部,True,Summer,Noon,死亡
近海(海岸線1公里內),戲水,男,53.0,外島,False,Summer,Evening,獲救
近海(海岸線1公里內),垂釣,男,46.0,外島,True,Summer,Night,死亡
碼頭,失足,男,36.0,外島,False,Summer,Night,獲救
近海(海岸線1公里內),工作,男,49.0,北部,False,Winter,Morning,死亡
碼頭,自殺,男,34.0,北部,False,Winter,Evening,獲救
其他,失足,男,53.0,北部,False,Winter,Night,獲救
碼頭,工作,男,48.0,北部,False,Winter,Noon,死亡
外海(海岸線1公里以外),失足,男,55.0,北部,True,Spring,Morning,死亡
碼頭,其他,男,35.0,北部,True,Spring,Night,獲救
碼頭,自殺,男,50.0,北部,False,Spring,Night,獲救
碼頭,其他,女,28.0,北部,True,Spring,Dawn,死亡
碼頭,自殺,女,34.0,北部,True,Spring,Morning,死亡
碼頭,自殺,女,51.0,北部,False,Summer,Evening,死亡
碼頭,失足,男,55.0,北部,False,Summer,Morning,獲救
碼頭,自殺,女,21.0,北部,True,Winter,Noon,獲救
近海(海岸線1公里內),失足,男,53.0,中部,False,Fall,Morning,獲救
碼頭,自殺,女,84.0,南部,True,Winter,Evening,獲救
碼頭,工作,男,41.0,南部,False,Spring,Morning,死亡
碼頭,救人,男,67.0,南部,False,Spring,Evening,獲救
碼頭,自殺,女,75.0,南部,True,Spring,Evening,獲救
碼頭,失足,男,31.0,南部,False,Spring,Noon,獲救
碼頭,自殺,女,22.0,南部,False,Spring,Night,獲救
碼頭,自殺,女,24.0,南部,False,Spring,Night,獲救
碼頭,失足,女,24.0,南部,False,Spring,Dawn,獲救
碼頭,其他,男,64.0,南部,True,Spring,Dawn,獲救
碼頭,自殺,女,22.0,南部,True,Spring,Noon,獲救
近海(海岸線1公里內),失足,女,58.0,南部,False,Summer,Dawn,獲救
碼頭,自殺,女,21.0,南部,False,Summer,Night,獲救
碼頭,失足,男,33.0,南部,True,Summer,Morning,獲救
碼頭,自殺,女,20.0,南部,False,Summer,Dawn,獲救
碼頭,自殺,男,82.0,南部,False,Summer,Evening,死亡
碼頭,失足,女,35.0,南部,False,Summer,Night,獲救
碼頭,自殺,男,24.0,南部,False,Summer,Morning,獲救
碼頭,自殺,女,21.0,南部,False,Fall,Dawn,獲救
碼頭,失足,男,64.0,南部,False,Fall,Dawn,獲救
近海(海岸線1公里內),戲水,男,17.0,南部,True,Fall,Noon,死亡
近海(海岸線1公里內),戲水,男,75.0,南部,True,Fall,Evening,獲救
碼頭,其他,男,65.0,南部,True,Fall,Night,獲救
碼頭,自殺,男,32.0,南部,False,Fall,Dawn,獲救
碼頭,自殺,男,24.0,南部,False,Fall,Dawn,獲救
碼頭,自殺,女,25.0,南部,False,Fall,Dawn,獲救
碼頭,失足,男,40.0,南部,False,Winter,Night,獲救
碼頭,失足,女,20.0,東部,True,Winter,Dawn,獲救
